Frame,LFSW,RFSW,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EM10
50,5.1163,0,-0.2392,-0.122,-0.4101,-0.8495,0.2099,-0.4345,-0.3222,0.2197,-0.6395,-0.249
51,5.1163,0,-0.332,-0.4247,-1.4207,1.5769,0.0732,-0.7811,-0.1611,0.3564,-0.498,-0.3027
52,5.1163,0,-0.1953,-0.8006,-2.1334,1.2888,0.1513,-1.0545,0.7079,0.3515,-0.3613,-0.5321
53,5.1163,0,0.0146,-0.2929,-1.0887,0.9032,0.0195,-1.2205,0.4345,0.0879,-0.2587,-0.2197
54,5.1163,0,0.0488,-0.0781,-0.3515,1.3767,-0.1709,-1.3133,-0.581,-0.2734,-0.3417,0.2734
55,5.1163,0,0.1074,-0.4589,0.4345,-0.5224,-0.083,-1.2986,0.1709,-0.1416,-0.3808,0.3906
56,5.1163,0,0.1953,-0.6688,0.3417,0.0635,0.454,-1.2693,0.6151,0.1611,-0.2832,-0.3857
57,5.1163,0,0.2197,-0.7274,-0.3369,2.6753,0.7079,-1.1717,0.5565,0.4003,-0.1904,-1.2937
58,5.1163,0,0.2441,-0.6591,-0.5175,2.7144,0.8348,-0.9618,0.5321,0.4199,-0.3564,-0.9959
59,5.1163,0,0.2099,-0.4101,-0.3564,2.1627,0.7274,-0.7762,0.4101,0.2197,-0.2783,0.0342
60,5.1163,0,0.2587,-0.3857,-0.122,1.86,0.2539,-0.6444,0.3613,0.3369,-0.1025,1.118
61,5.1163,0,0.1953,-0.5419,-0.1562,1.4744,0.4491,-0.5126,0.1465,0.1562,0.1416,1.8161
62,5.1163,0,0.0342,-0.0537,-0.4931,1.1033,0.5614,-0.3222,0.3661,-0.2832,0.1172,2.0553
63,5.1163,0,-0.1074,0.2539,-1.0057,0.703,0.2343,-0.0635,0.4394,-0.2978,0.0391,1.8893
64,5.1163,0,-0.1123,0.0732,-0.9715,0.0879,0.0976,0.2441,0.0586,-0.1172,0.3027,0.1367
65,5.1163,0,-0.1513,-0.2539,-0.952,-0.6005,0.1806,0.4296,-0.371,-0.415,0.5224,-1.6599
66,5.1163,0,-0.4394,-0.6542,-0.8104,-0.9618,-0.083,0.4345,-0.7421,-0.3027,0.4345,-0.6688
67,5.1163,0,-0.3808,-0.1953,0.1074,-1.2986,-0.1611,0.3661,-0.703,-0.3173,0.3906,0.8202
68,5.1163,0,-0.3076,-0.0293,0.1269,-2.9243,-0.249,0.4687,-0.4882,-0.8836,0.2002,0.8104
69,5.1163,0,-0.2832,-0.2002,0.2295,-3.4028,-0.3466,0.5273,-0.6005,-0.7567,0.0781,-0.1709
70,5.1163,0,-0.0391,-0.0049,1.2644,-1.2596,-0.537,0.5175,-0.6542,-0.3076,0.2832,-1.2351
71,5.1163,0,0.0879,0.5517,1.5037,-0.5858,-0.5419,0.5956,-0.5175,-0.0146,0.6444,-1.777
72,5.1163,0,0.166,0.6981,1.3035,-1.5427,-0.4247,0.5126,-0.3808,0.3759,0.6102,-2.8609
73,5.1163,0,0.1855,0.664,1.074,0.288,-0.3466,0.4296,-0.1611,0.7811,0.5907,-1.8552
74,5.1163,0,0.2197,0.8348,1.0008,1.5232,-0.249,0.4247,0.0781,0.869,0.537,-0.2978
75,5.1163,0,0.1074,0.9813,0.6395,1.3328,-0.2343,0.3564,0.1953,0.7958,0.2343,0.537
76,5.1163,0,-0.1513,0.6835,0.1562,0.7128,-0.3808,0.3124,0.1465,0.786,-0.1074,0.9959
77,5.1163,0,-0.2246,0.288,-0.4784,1.2254,-0.1611,0.2636,0.3466,0.62,-0.332,0.1416
78,5.1163,0,-0.1611,-0.0146,-1.3084,1.2059,0.3222,0.249,0.7177,0.0195,-0.4101,-0.4833
79,5.1163,0,-0.0488,-0.3954,-1.1131,0.2832,0.3271,0.288,0.4199,-0.62,-0.581,0.0391
80,5.1163,0,0.1416,-0.62,-0.6737,-1.4841,0.0586,0.288,0.3124,-0.8885,-0.6054,1.0106
81,5.1163,0,0.1709,-0.4296,-0.0244,-0.9276,-0.1709,0.166,0.4394,-0.4833,-0.4638,1.7673
82,5.1163,0,0.166,-0.2587,1.3035,-0.4052,-0.0488,-0.0195,0.2343,0.083,-0.3808,2.0114
83,5.1163,0,0.166,-0.1806,1.1668,-1.3865,0.0049,-0.0488,0.2441,0.0537,-0.3369,2.07
84,5.1163,0,0.0928,0.2392,0.7225,0.6054,0.2929,-0.0146,0.2392,-0.0195,-0.2246,0.8934
85,5.1163,0,0.0732,0.6102,0.952,1.7575,0.1562,-0.0635,0.1416,0.0879,-0.2197,-1.0936
86,5.1163,0,0.1123,0.6835,0.4199,0.8592,-0.6102,0.0049,0.1318,0.1904,-0.2002,-1.5427
87,5.1163,0,-0.1269,-0.2783,-0.2978,-0.2832,-0.5907,0.0195,0,0.0342,-0.1074,-0.7274
88,5.1163,0,-0.1269,-1.4939,-1.2351,-1.2449,0.2295,-0.0488,-0.1123,-0.0488,-0.0586,-0.0488
89,5.1163,0,0.1465,-1.0252,-1.8747,-0.3954,0.9227,-0.2197,-0.1953,-0.0098,0.0098,0.0293
90,5.1163,0,0.1513,-0.5907,-2.3482,1.5134,1.0106,-0.249,-0.2587,0.0439,0.1318,0.2539
91,5.1163,0,-0.332,-0.9227,-2.8364,1.3279,0.1562,-0.0781,-0.2002,-0.083,0.1318,0.454
92,5.1163,0,-0.2392,-0.083,-0.4345,1.157,-0.1318,-0.0683,-0.249,0.0488,0.1465,0.4199
93,5.1163,0,0.3369,1.4158,1.7526,0.8983,-0.3613,-0.0732,-0.3271,0.1123,0.1318,0.166
94,5.1163,0,0.3027,2.1578,2.1627,0.3954,-0.6151,-0.1025,-0.4443,-0.0146,0.1709,-0.0342
95,5.1163,0,-0.1367,2.1237,1.2498,-0.0049,-0.4345,-0.1953,-0.4784,-0.0781,0.2832,-0.1123
96,5.1163,0,-0.0781,1.3767,1.2644,-0.3076,-0.0976,-0.2246,-0.3564,-0.1074,0.3515,-0.4003
97,5.1163,0,0.1269,0.7567,1.4646,-0.537,0.1416,-0.2587,-0.1416,-0.1172,0.249,-0.3076
98,5.1163,0,0.1513,0.1025,0.4247,-0.6298,0.2636,-0.3027,-0.0244,-0.2539,0.3027,0.0195
99,5.1163,0,0.1172,-0.8006,0.1318,-0.8299,-0.0635,-0.1709,-0.0146,-0.4784,0.2685,-0.2929
100,5.1163,0,-0.0635,-1.6355,-0.7274,-1.1082,-0.0732,-0.1904,0.3173,-0.2734,0.083,0.6298
101,5.1163,0,-0.0928,-2.0407,-0.8983,-0.9178,-0.0635,-0.1904,0.3661,0.122,-0.1074,0.6054
102,5.1163,0,-0.1367,-1.8454,-0.8739,-0.6884,0.2832,-0.083,0.5321,0.3466,-0.2197,-1.6696
103,5.1163,0,-0.0537,-1.1619,-1.074,-0.3124,0.498,-0.0683,0.8934,0.1758,-0.2002,-2.0651
104,5.1163,0,0.0195,-0.8153,-0.3466,-0.3222,0.122,-0.0928,0.2636,0.1269,-0.2246,-1.2254
105,5.1163,0,0.0635,-0.6298,0.6151,-0.4736,0.0928,-0.1123,-0.2636,-0.0635,-0.2978,-0.2636
106,5.1163,0,0.0098,0.5419,0.3808,-0.2636,0.0683,-0.1465,-0.1416,-0.0049,-0.0439,0.991
107,5.1163,0,-0.0391,0.5565,0.0391,-0.1513,-0.0146,-0.0781,-0.454,0.2295,0.2002,1.6013
108,5.1163,0,-0.1074,0.3515,0.4052,0.0195,-0.1269,-0.0586,-0.4296,-0.1465,0.2734,1.7038
109,5.1163,0,-0.1318,0.3027,-0.0732,0.2685,-0.1074,-0.0146,-0.4345,-0.3906,0.3564,1.1277
110,5.1163,0,-0.2099,0.1416,-1.0838,0.0879,0.1953,0.0195,-0.4247,-0.3564,0.288,-0.2197
111,5.1163,0,-0.1367,-0.0976,-1.2449,0.3759,0.4101,0.0391,-0.1074,0.0098,0.0976,-1.3181
112,5.1163,0,0.0098,-0.3759,-1.2693,0.8543,0.6005,0.0439,0.249,0.5175,0.0293,-1.0057
113,5.1163,0,-0.1318,-0.2685,-1.4646,0.3417,0.5321,0.0488,0.2392,0.5321,-0.0683,-0.6249
114,5.1163,0,-0.2734,0.0391,-1.2303,0.1123,-0.0976,0.1953,0.0342,0.1904,-0.1172,-0.0293
115,5.1163,0,-0.2539,0.2197,0.5419,0.4589,-0.371,0.1758,-0.1074,-0.0732,-0.2295,1.201
116,5.1163,0,0.1269,0.2343,1.8698,0.6884,-0.332,0.1123,0.0146,-0.3222,-0.166,1.6989
117,5.1163,0,0.2685,0.1318,1.1082,0.5663,-0.2587,0.205,0.0781,-0.415,-0.0293,0.4589
118,5.1163,0,0.205,0.0586,0.6981,0.454,-0.2002,0.205,0.0683,-0.2685,0.0635,0.122
119,5.1163,0,0.1562,0.3661,0.8983,0.3759,-0.4345,0.1855,-0.0439,-0.1025,0.122,0.205
120,5.1163,0,0.0781,0.6444,1.0936,0.2295,-0.4589,0.2002,0.1758,0.1367,0.0928,-1.2107
121,5.1163,0,-0.0732,0.3222,1.157,0.2246,-0.2441,0.1562,0.3759,0.4247,0.0439,-1.9284
122,5.1163,0,0,0.0732,0.7469,0.454,0.1953,0.1123,0.3222,0.4101,0.1367,-1.4451
123,5.1163,0,-0.0488,0.0244,0.1855,0.2295,0.3759,0.0391,0.5614,0.4687,0.1562,-1.1082
124,5.1163,0,-0.2148,-0.1806,-0.8739,-0.1953,-0.0781,0.083,0.6444,0.7567,-0.0195,-0.9129
125,5.1163,0,0.0586,-0.3954,-1.4792,-0.1465,0.0098,0.122,-0.1318,0.3222,-0.122,-0.0244
126,5.1163,0,0.1953,-0.415,-2.895,-0.6591,-0.0342,0.0635,-0.0488,-0.5077,-0.2636,0.7714
127,5.1163,0,-0.0439,-0.166,-2.2164,-2.441,-0.0488,0.0635,0.2685,-0.4247,-0.2734,0.9764
128,5.1163,0,0.0195,0.3271,-1.118,-0.7372,-0.0342,0.0928,-0.122,-0.2148,-0.1953,1.4109
129,5.1163,0,0.3417,0.2978,0.2099,0.5614,-0.3466,0.122,-0.2392,-0.0781,-0.0976,1.7185
130,5.1163,0,0.6102,0.083,2.2848,0.3954,-0.4394,0.0195,-0.2197,-0.1465,0,0.8495
131,5.1163,0,0.4687,1.0789,2.895,0.4491,-0.2246,-0.0683,-0.454,0.0342,0.0391,-0.2148
132,5.1163,0,-0.0781,1.3523,2.1334,0.3417,-0.1465,0.0146,-0.5956,0.0342,0.0781,-0.6054
133,5.1163,0,-0.0976,0.8495,2.0016,0.1513,-0.0244,-0.0488,-0.4687,-0.0732,0.1172,0.1562
134,5.1163,0,-0.0732,0.6932,1.5378,0.0391,-0.0146,-0.1269,-0.1123,-0.0439,0.122,0.9227
135,5.1163,0,-0.2197,0.5077,1.0252,-0.2148,-0.1904,-0.1416,0.2929,0.1953,0.1416,1.0984
136,5.1163,0,-0.3564,0.3369,0.122,-0.1953,-0.1709,-0.1611,0.4296,0.2197,0.1465,1.8112
137,5.1163,0,-0.2295,-0.2734,-0.991,-0.0342,0.1465,-0.1416,0.0244,0.0635,0.122,1.6159
